semester,student_id,course_code,course_name,normal_year_taken,student_index,student_label,course_index
Semester 1,V2173617,MATH08062,Accelerated Algebra and Calculus for Direct Entry,2,2568,Student_2568,7
Semester 1,A0325111,MATH08077,Introduction to Data Science,1,7,Student_7,18
Semester 1,A1549361,MATH07003,Fundamentals of Algebra and Calculus,1,16,Student_16,1
Semester 1,A1549361,MATH07004,Introductory Mathematics with Applications,1,16,Student_16,2
Semester 1,Q7802173,MATH08062,Accelerated Algebra and Calculus for Direct Entry,2,2073,Student_2073,7
Semester 1,M7919140,MATH08062,Accelerated Algebra and Calculus for Direct Entry,2,1600,Student_1600,7
Semester 1,A4447953,MATH07004,Introductory Mathematics with Applications,1,55,Student_55,2
Semester 1,J5970413,MATH08062,Accelerated Algebra and Calculus for Direct Entry,2,1226,Student_1226,7
Semester 1,C7307748,MATH08062,Accelerated Algebra and Calculus for Direct Entry,2,348,Student_348,7
Semester 1,M2864203,MATH08062,Accelerated Algebra and Calculus for Direct Entry,2,1528,Student_1528,7
Semester 1,A5492452,MATH08077,Introduction to Data Science,1,66,Student_66,18
Semester 1,P4991146,MATH08062,Accelerated Algebra and Calculus for Direct Entry,2,1929,Student_1929,7
Semester 1,B4320475,MATH08077,Introduction to Data Science,1,187,Student_187,18
Semester 1,C0725464,MATH08057,Introduction to Linear Algebra,1,267,Student_267,4
Semester 1,C4770082,MATH08072,Mathematics for the Natural Sciences 1a,1,318,Student_318,14
Semester 1,C8261398,MATH08057,Introduction to Linear Algebra,1,365,Student_365,4
Semester 1,D1235150,MATH08077,Introduction to Data Science,1,410,Student_410,18
Semester 1,D1342159,MATH08077,Introduction to Data Science,1,411,Student_411,18
Semester 1,D1489846,MATH08057,Introduction to Linear Algebra,1,413,Student_413,4
Semester 1,E8344001,MATH07004,Introductory Mathematics with Applications,1,628,Student_628,2
Semester 1,F5519169,MATH08077,Introduction to Data Science,1,695,Student_695,18
Semester 1,F6230586,MATH07004,Introductory Mathematics with Applications,1,709,Student_709,2
Semester 1,F8554495,MATH08077,Introduction to Data Science,1,737,Student_737,18
Semester 1,G1990211,MATH08077,Introduction to Data Science,1,798,Student_798,18
Semester 1,H1546283,MATH08077,Introduction to Data Science,1,919,Student_919,18
Semester 1,H2025551,MATH08057,Introduction to Linear Algebra,1,928,Student_928,4
Semester 1,H2763661,MATH08057,Introduction to Linear Algebra,1,946,Student_946,4
Semester 1,H8028149,MATH08077,Introduction to Data Science,1,1024,Student_1024,18
Semester 1,I9932703,MATH08077,Introduction to Data Science,1,1159,Student_1159,18
Semester 1,J0934604,MATH08057,Introduction to Linear Algebra,1,1169,Student_1169,4
Semester 1,J1540260,MATH07004,Introductory Mathematics with Applications,1,1178,Student_1178,2
Semester 1,J6167929,MATH08057,Introduction to Linear Algebra,1,1227,Student_1227,4
Semester 1,V2173617,MATH08071,Accelerated Proofs and Problem Solving,2,2568,Student_2568,13
Semester 1,J9886020,MATH08057,Introduction to Linear Algebra,1,1262,Student_1262,4
Semester 1,K1760847,MATH07004,Introductory Mathematics with Applications,1,1284,Student_1284,2
Semester 1,K5842140,MATH08057,Introduction to Linear Algebra,1,1326,Student_1326,4
Semester 1,K8261217,MATH07003,Fundamentals of Algebra and Calculus,1,1351,Student_1351,1
Semester 1,F6816420,MATH08071,Accelerated Proofs and Problem Solving,2,716,Student_716,13
Semester 1,L3115192,MATH07003,Fundamentals of Algebra and Calculus,1,1397,Student_1397,1
Semester 1,Q7802173,MATH08071,Accelerated Proofs and Problem Solving,2,2073,Student_2073,13
Semester 1,M7919140,MATH08071,Accelerated Proofs and Problem Solving,2,1600,Student_1600,13
Semester 1,E2105558,MATH08071,Accelerated Proofs and Problem Solving,2,544,Student_544,13
Semester 1,L4068400,MATH08077,Introduction to Data Science,1,1415,Student_1415,18
Semester 1,M0107520,MATH08071,Accelerated Proofs and Problem Solving,2,1487,Student_1487,13
Semester 1,L6238771,MATH07003,Fundamentals of Algebra and Calculus,1,1439,Student_1439,1
Semester 1,M2903226,MATH08071,Accelerated Proofs and Problem Solving,2,1530,Student_1530,13
Semester 1,L8710004,MATH08057,Introduction to Linear Algebra,1,1464,Student_1464,4
Semester 1,J5970413,MATH08071,Accelerated Proofs and Problem Solving,2,1226,Student_1226,13
Semester 1,C7307748,MATH08071,Accelerated Proofs and Problem Solving,2,348,Student_348,13
Semester 1,Q4867182,MATH08071,Accelerated Proofs and Problem Solving,2,2045,Student_2045,13
Semester 1,M2864203,MATH08071,Accelerated Proofs and Problem Solving,2,1528,Student_1528,13
Semester 1,M1416872,MATH08057,Introduction to Linear Algebra,1,1502,Student_1502,4
Semester 1,M1416872,MATH07004,Introductory Mathematics with Applications,1,1502,Student_1502,2
Semester 1,P4991146,MATH08071,Accelerated Proofs and Problem Solving,2,1929,Student_1929,13
Semester 1,M1918284,MATH08057,Introduction to Linear Algebra,1,1511,Student_1511,4
Semester 1,M2334780,MATH08077,Introduction to Data Science,1,1515,Student_1515,18
Semester 1,M4098182,MATH08077,Introduction to Data Science,1,1536,Student_1536,18
Semester 1,M5525662,MATH07003,Fundamentals of Algebra and Calculus,1,1561,Student_1561,1
Semester 1,M6994538,MATH07003,Fundamentals of Algebra and Calculus,1,1580,Student_1580,1
Semester 1,M6998751,MATH08077,Introduction to Data Science,1,1581,Student_1581,18
Semester 1,N4657048,MATH08077,Introduction to Data Science,1,1675,Student_1675,18
Semester 1,N4733294,MATH08057,Introduction to Linear Algebra,1,1676,Student_1676,4
Semester 1,N5084259,MATH07003,Fundamentals of Algebra and Calculus,1,1682,Student_1682,1
Semester 1,N8591784,MATH07004,Introductory Mathematics with Applications,1,1732,Student_1732,2
Semester 1,N8622390,MATH07003,Fundamentals of Algebra and Calculus,1,1733,Student_1733,1
Semester 1,N8622390,MATH08057,Introduction to Linear Algebra,1,1733,Student_1733,4
Semester 1,O2214718,MATH08057,Introduction to Linear Algebra,1,1767,Student_1767,4
Semester 1,O5991151,MATH07003,Fundamentals of Algebra and Calculus,1,1808,Student_1808,1
Semester 1,P0107790,MATH08077,Introduction to Data Science,1,1851,Student_1851,18
Semester 1,P1082299,MATH08057,Introduction to Linear Algebra,1,1869,Student_1869,4
Semester 1,P3569888,MATH08057,Introduction to Linear Algebra,1,1898,Student_1898,4
Semester 1,P7076998,MATH08072,Mathematics for the Natural Sciences 1a,1,1957,Student_1957,14
Semester 1,P9235057,MATH07003,Fundamentals of Algebra and Calculus,1,1980,Student_1980,1
Semester 1,P9253997,MATH07003,Fundamentals of Algebra and Calculus,1,1981,Student_1981,1
Semester 1,Q3525565,MATH08077,Introduction to Data Science,1,2029,Student_2029,18
Semester 1,Q4385229,MATH08057,Introduction to Linear Algebra,1,2041,Student_2041,4
Semester 1,R9126644,MATH08077,Introduction to Data Science,1,2202,Student_2202,18
Semester 1,S0598495,MATH07003,Fundamentals of Algebra and Calculus,1,2218,Student_2218,1
Semester 1,S4912621,MATH07003,Fundamentals of Algebra and Calculus,1,2261,Student_2261,1
Semester 1,S7545052,MATH08057,Introduction to Linear Algebra,1,2287,Student_2287,4
Semester 1,S9740812,MATH08057,Introduction to Linear Algebra,1,2312,Student_2312,4
Semester 1,D7890683,MATH11226,Analytic Number Theory,5,498,Student_498,94
Semester 1,D5658046,MATH11226,Analytic Number Theory,5,475,Student_475,94
Semester 1,T9762006,MATH11226,Analytic Number Theory,5,2433,Student_2433,94
Semester 1,O8797059,MATH11226,Analytic Number Theory,5,1835,Student_1835,94
Semester 1,J7396063,MATH11226,Analytic Number Theory,5,1239,Student_1239,94
Semester 1,G9269138,MATH11226,Analytic Number Theory,5,876,Student_876,94
Semester 1,F3683426,MATH11226,Analytic Number Theory,5,680,Student_680,94
Semester 1,U0630869,MATH11226,Analytic Number Theory,5,2442,Student_2442,94
Semester 1,X5344050,MATH11226,Analytic Number Theory,5,2875,Student_2875,94
Semester 1,M2573385,MATH11226,Analytic Number Theory,5,1522,Student_1522,94
Semester 1,W8483909,MATH11226,Analytic Number Theory,5,2797,Student_2797,94
Semester 1,Q1686612,MATH11226,Analytic Number Theory,5,2004,Student_2004,94
Semester 1,X0795332,MATH11226,Analytic Number Theory,5,2822,Student_2822,94
Semester 1,C4831874,MATH11226,Analytic Number Theory,5,319,Student_319,94
Semester 1,S7231261,MATH11226,Analytic Number Theory,5,2283,Student_2283,94
Semester 1,B5360766,MATH11226,Analytic Number Theory,5,201,Student_201,94
Semester 1,L7755351,MATH11226,Analytic Number Theory,5,1452,Student_1452,94
Semester 1,C5458225,MATH11226,Analytic Number Theory,5,328,Student_328,94
Semester 1,Q8450782,MATH11226,Analytic Number Theory,5,2083,Student_2083,94
Semester 1,N6287877,MATH11226,Analytic Number Theory,5,1704,Student_1704,94
Semester 1,Z5259922,MATH11226,Analytic Number Theory,5,3100,Student_3100,94
Semester 1,H6176748,MATH11226,Analytic Number Theory,5,988,Student_988,94
Semester 1,F4615471,MATH11226,Analytic Number Theory,5,689,Student_689,94
Semester 1,C6797061,MATH11226,Analytic Number Theory,5,346,Student_346,94
Semester 1,G6544275,MATH11226,Analytic Number Theory,5,847,Student_847,94
Semester 1,R9895726,MATH11226,Analytic Number Theory,5,2206,Student_2206,94
Semester 1,B6911678,MATH11226,Analytic Number Theory,5,223,Student_223,94
Semester 1,T4712396,MATH11226,Analytic Number Theory,5,2369,Student_2369,94
Semester 1,B5610427,MATH11226,Analytic Number Theory,5,205,Student_205,94
Semester 1,A8569535,MATH11226,Analytic Number Theory,5,121,Student_121,94
Semester 1,L3085699,MATH11226,Analytic Number Theory,5,1395,Student_1395,94
Semester 1,W9255627,MATH11226,Analytic Number Theory,5,2805,Student_2805,94
Semester 1,Y1194021,MATH11226,Analytic Number Theory,5,2936,Student_2936,94
Semester 1,E1199630,MATH11226,Analytic Number Theory,5,531,Student_531,94
Semester 1,X0618060,MATH11226,Analytic Number Theory,5,2821,Student_2821,94
Semester 1,F6972405,MATH11226,Analytic Number Theory,5,720,Student_720,94
Semester 1,C5600306,MATH11226,Analytic Number Theory,5,333,Student_333,94
Semester 1,T2827321,MATH07003,Fundamentals of Algebra and Calculus,1,2348,Student_2348,1
Semester 1,T3644493,MATH07003,Fundamentals of Algebra and Calculus,1,2355,Student_2355,1
Semester 1,T3644493,MATH08057,Introduction to Linear Algebra,1,2355,Student_2355,4
Semester 1,D4684583,MATH10053,Applied Stochastic Differential Equations,4,460,Student_460,28
Semester 1,B7551886,MATH10053,Applied Stochastic Differential Equations,4,229,Student_229,28
Semester 1,X8147983,MATH10053,Applied Stochastic Differential Equations,4,2895,Student_2895,28
Semester 1,M9245367,MATH10053,Applied Stochastic Differential Equations,4,1614,Student_1614,28
Semester 1,G9843818,MATH10053,Applied Stochastic Differential Equations,4,886,Student_886,28
Semester 1,X7750365,MATH10053,Applied Stochastic Differential Equations,4,2893,Student_2893,28
Semester 1,O0325564,MATH10053,Applied Stochastic Differential Equations,4,1746,Student_1746,28
Semester 1,L1429720,MATH10053,Applied Stochastic Differential Equations,4,1388,Student_1388,28
Semester 1,N6193431,MATH10053,Applied Stochastic Differential Equations,4,1702,Student_1702,28
Semester 1,S6330131,MATH10053,Applied Stochastic Differential Equations,4,2278,Student_2278,28
Semester 1,A6668635,MATH10053,Applied Stochastic Differential Equations,4,90,Student_90,28
Semester 1,V8487967,MATH10053,Applied Stochastic Differential Equations,4,2661,Student_2661,28
Semester 1,M2573385,MATH10053,Applied Stochastic Differential Equations,4,1522,Student_1522,28
Semester 1,K6734025,MATH10053,Applied Stochastic Differential Equations,4,1341,Student_1341,28
Semester 1,R7665371,MATH10053,Applied Stochastic Differential Equations,4,2185,Student_2185,28
Semester 1,U2228971,MATH10053,Applied Stochastic Differential Equations,4,2459,Student_2459,28
Semester 1,G6401504,MATH10053,Applied Stochastic Differential Equations,4,845,Student_845,28
Semester 1,K0077996,MATH10053,Applied Stochastic Differential Equations,4,1264,Student_1264,28
Semester 1,A7918784,MATH10053,Applied Stochastic Differential Equations,4,114,Student_114,28
Semester 1,Z6610013,MATH10053,Applied Stochastic Differential Equations,4,3114,Student_3114,28
Semester 1,G5778676,MATH10053,Applied Stochastic Differential Equations,4,836,Student_836,28
Semester 1,M2506512,MATH10053,Applied Stochastic Differential Equations,4,1520,Student_1520,28
Semester 1,P3995659,MATH10053,Applied Stochastic Differential Equations,4,1904,Student_1904,28
Semester 1,R1739213,MATH10053,Applied Stochastic Differential Equations,4,2122,Student_2122,28
Semester 1,M2015605,MATH10053,Applied Stochastic Differential Equations,4,1514,Student_1514,28
Semester 1,S1162106,MATH10053,Applied Stochastic Differential Equations,4,2226,Student_2226,28
